FROM_CURRENCY|TO_CURRENCY|RATE_DATE|RATE_TYPE|CONVERSION_RATE|INVERSE_RATE
AUD|EUR|04-NOV-2021|Spot|0.641468259|1.55892
AUD|EUR|04-OCT-2021|Spot|0.625882626|1.59774
AUD|EUR|05-APR-2022|Spot|0.686517859|1.45663
AUD|EUR|05-DEC-2021|Spot|0.618826928|1.61596
AUD|EUR|05-FEB-2022|Spot|0.617127569|1.62041
AUD|EUR|05-JAN-2022|Spot|0.641220874|1.55953
AUD|EUR|05-JUN-2022|Spot|0.672333625|1.48736
AUD|EUR|05-MAR-2022|Spot|0.674519328|1.48254
AUD|EUR|05-MAY-2022|Spot|0.69|1.44928
AUD|EUR|05-NOV-2021|Spot|0.641030621|1.55999
AUD|EUR|05-OCT-2021|Spot|0.626657751|1.59577
AUD|EUR|06-APR-2022|Spot|0.695452932|1.43791
AUD|EUR|06-DEC-2021|Spot|0.618683029|1.61634
AUD|EUR|06-FEB-2022|Spot|0.617677876|1.61897
AUD|EUR|06-JAN-2022|Spot|0.640592626|1.56105
AUD|EUR|06-JUN-2022|Spot|0.672976688|1.48594
AUD|EUR|06-MAR-2022|Spot|0.674462236|1.48266
AUD|EUR|06-MAY-2022|Spot|0.69|1.44928
AUD|EUR|06-NOV-2021|Spot|0.641274909|1.55939
AUD|EUR|06-OCT-2021|Spot|0.628339404|1.5915
AUD|EUR|07-APR-2022|Spot|0.691274492|1.4466
AUD|EUR|07-DEC-2021|Spot|0.62435975|1.60164
AUD|EUR|07-FEB-2022|Spot|0.617535534|1.61934
AUD|EUR|07-JAN-2022|Spot|0.633841934|1.57768
AUD|EUR|07-JUN-2022|Spot|0.673640088|1.48447
AUD|EUR|07-MAR-2022|Spot|0.673728955|1.48428
AUD|EUR|07-MAY-2022|Spot|0.69|1.44928
AUD|EUR|07-NOV-2021|Spot|0.64004328|1.56239
AUD|EUR|07-OCT-2021|Spot|0.628529252|1.59102
AUD|EUR|08-APR-2022|Spot|0.685578316|1.45862
AUD|EUR|08-DEC-2021|Spot|0.624710284|1.60074
AUD|EUR|08-FEB-2022|Spot|0.62208239|1.6075
AUD|EUR|08-JAN-2022|Spot|0.632619802|1.58073
AUD|EUR|08-JUN-2022|Spot|0.674062908|1.48354
AUD|EUR|08-MAR-2022|Spot|0.674160699|1.48333
AUD|EUR|08-MAY-2022|Spot|0.69|1.44928
AUD|EUR|08-NOV-2021|Spot|0.639992813|1.56252
AUD|EUR|08-OCT-2021|Spot|0.633287305|1.57906
AUD|EUR|09-APR-2022|Spot|0.685876191|1.45799
AUD|EUR|09-DEC-2021|Spot|0.63259807|1.58078
AUD|EUR|09-FEB-2022|Spot|0.624809545|1.60049
AUD|EUR|09-JAN-2022|Spot|0.632050471|1.58215
AUD|EUR|09-JUN-2022|Spot|0.672108488|1.48786
AUD|EUR|09-MAR-2022|Spot|0.667371116|1.49842
AUD|EUR|09-MAY-2022|Spot|0.69|1.44928
AUD|EUR|09-NOV-2021|Spot|0.640381405|1.56157
AUD|EUR|09-OCT-2021|Spot|0.631479477|1.58358
AUD|EUR|10-APR-2022|Spot|0.685156289|1.45952
AUD|EUR|10-DEC-2021|Spot|0.633153842|1.57939
AUD|EUR|10-FEB-2022|Spot|1.59174033|0.62824
AUD|EUR|10-JAN-2022|Spot|0.631974878|1.58234
AUD|EUR|10-JUN-2022|Spot|0.668200431|1.49656
AUD|EUR|10-MAR-2022|Spot|0.661491428|1.51174
AUD|EUR|10-MAY-2022|Spot|0.69|1.44928
AUD|EUR|10-NOV-2021|Spot|0.636556328|1.57095
AUD|EUR|10-OCT-2021|Spot|0.631422278|1.58373
AUD|EUR|11-APR-2022|Spot|0.685359964|1.45909
AUD|EUR|11-DEC-2021|Spot|0.634219577|1.57674
AUD|EUR|11-FEB-2022|Spot|0.630792457|1.58531
AUD|EUR|11-JAN-2022|Spot|0.633060026|1.57963
AUD|EUR|11-JUN-2022|Spot|0.670227125|1.49203
AUD|EUR|11-MAR-2022|Spot|0.669061876|1.49463
AUD|EUR|11-MAY-2022|Spot|0.69|1.44928
AUD|EUR|11-NOV-2021|Spot|0.638851849|1.56531
AUD|EUR|11-OCT-2021|Spot|0.631126236|1.58447
AUD|EUR|12-APR-2022|Spot|0.682528525|1.46514
AUD|EUR|12-DEC-2021|Spot|0.633996001|1.5773
AUD|EUR|12-FEB-2022|Spot|0.629407317|1.5888
AUD|EUR|12-JAN-2022|Spot|0.633274598|1.57909
AUD|EUR|12-JUN-2022|Spot|0.672262355|1.48751
AUD|EUR|12-MAR-2022|Spot|0.667915246|1.4972
AUD|EUR|12-MAY-2022|Spot|0.69|1.44928
AUD|EUR|12-NOV-2021|Spot|0.637063377|1.5697
AUD|EUR|12-OCT-2021|Spot|0.636661068|1.57069
AUD|EUR|13-APR-2022|Spot|0.689639462|1.45003
AUD|EUR|13-DEC-2021|Spot|0.634037183|1.57719
AUD|EUR|13-FEB-2022|Spot|0.628390068|1.59137
AUD|EUR|13-JAN-2022|Spot|0.636607553|1.57083
AUD|EUR|13-JUN-2022|Spot|0.6707682|1.49083
AUD|EUR|13-MAR-2022|Spot|0.667973823|1.49706
AUD|EUR|13-MAY-2022|Spot|0.69|1.44928
AUD|EUR|13-NOV-2021|Spot|0.639514528|1.56369
AUD|EUR|13-OCT-2021|Spot|0.63802638|1.56733
AUD|EUR|14-APR-2022|Spot|0.683330345|1.46342
AUD|EUR|14-DEC-2021|Spot|0.630571177|1.58586
AUD|EUR|14-FEB-2022|Spot|0.62898497|1.58986
AUD|EUR|14-JAN-2022|Spot|0.636617071|1.5708
AUD|EUR|14-JUN-2022|Spot|0.66548494|1.50266
AUD|EUR|14-MAR-2022|Spot|0.668284843|1.49637
AUD|EUR|14-MAY-2022|Spot|0.664645273|1.50456
AUD|EUR|14-NOV-2021|Spot|0.640658015|1.5609
AUD|EUR|14-OCT-2021|Spot|0.63699314|1.56988
AUD|EUR|15-APR-2022|Spot|0.68576434|1.45823
AUD|EUR|15-DEC-2021|Spot|0.630391378|1.58632
AUD|EUR|15-FEB-2022|Spot|0.630377981|1.58635
AUD|EUR|15-JAN-2022|Spot|0.632899156|1.58003
AUD|EUR|15-JUN-2022|Spot|0.662612205|1.50918
AUD|EUR|15-MAR-2022|Spot|0.658892836|1.5177
AUD|EUR|15-MAY-2022|Spot|0.666350372|1.50071
AUD|EUR|15-NOV-2021|Spot|0.640734732|1.56071
AUD|EUR|15-OCT-2021|Spot|0.640096683|1.56226
AUD|EUR|16-APR-2022|Spot|0.69|1.44928
AUD|EUR|16-DEC-2021|Spot|0.632441675|1.58117
AUD|EUR|16-FEB-2022|Spot|0.629224909|1.58926
AUD|EUR|16-JAN-2022|Spot|0.631463759|1.58362
AUD|EUR|16-MAR-2022|Spot|0.655731387|1.52501
AUD|EUR|16-MAY-2022|Spot|0.666685433|1.49996
AUD|EUR|16-NOV-2021|Spot|0.644450369|1.55171
AUD|EUR|16-OCT-2021|Spot|0.639569007|1.56355
AUD|EUR|17-APR-2022|Spot|0.69|1.44928
AUD|EUR|17-DEC-2021|Spot|0.635888133|1.5726
AUD|EUR|17-FEB-2022|Spot|1.584783156|0.631
AUD|EUR|17-JAN-2022|Spot|0.631612457|1.58325
AUD|EUR|17-MAR-2022|Spot|0.659568507|1.51614
AUD|EUR|17-MAY-2022|Spot|0.666392064|1.50062
AUD|EUR|17-NOV-2021|Spot|0.644654666|1.55122
AUD|EUR|17-OCT-2021|Spot|0.639368676|1.56404
AUD|EUR|18-APR-2022|Spot|0.69|1.44928
AUD|EUR|18-DEC-2021|Spot|0.633829266|1.57771
AUD|EUR|18-FEB-2022|Spot|1.579662022|0.63305
AUD|EUR|18-JAN-2022|Spot|0.632167664|1.58186
AUD|EUR|18-MAR-2022|Spot|0.664775704|1.50427
AUD|EUR|18-MAY-2022|Spot|0.69|1.44928
AUD|EUR|18-NOV-2021|Spot|0.64337673|1.5543
AUD|EUR|18-OCT-2021|Spot|0.639247559|1.56434
AUD|EUR|19-APR-2022|Spot|0.69|1.44928
AUD|EUR|19-DEC-2021|Spot|0.634074838|1.5771
AUD|EUR|19-FEB-2022|Spot|0.63325828|1.57913
AUD|EUR|19-JAN-2022|Spot|0.634044524|1.57718
AUD|EUR|19-MAR-2022|Spot|0.670419811|1.4916
AUD|EUR|19-MAY-2022|Spot|0.666767761|1.49977
AUD|EUR|19-NOV-2021|Spot|0.639640724|1.56338
AUD|EUR|19-OCT-2021|Spot|0.638834016|1.56535
AUD|EUR|20-APR-2022|Spot|0.69|1.44928
AUD|EUR|20-DEC-2021|Spot|0.634930295|1.57498
AUD|EUR|20-FEB-2022|Spot|0.63397166|1.57736
AUD|EUR|20-JAN-2022|Spot|0.636890084|1.57013
AUD|EUR|20-MAR-2022|Spot|0.670829222|1.49069
AUD|EUR|20-MAY-2022|Spot|0.666670487|1.49999
AUD|EUR|20-NOV-2021|Spot|0.640996017|1.56007
AUD|EUR|20-OCT-2021|Spot|0.64316103|1.55482
AUD|EUR|21-APR-2022|Spot|0.69|1.44928
AUD|EUR|21-DEC-2021|Spot|0.63011145|1.58702
AUD|EUR|21-FEB-2022|Spot|0.633860671|1.57763
AUD|EUR|21-JAN-2022|Spot|0.640912833|1.56027
AUD|EUR|21-MAR-2022|Spot|0.670772887|1.49082
AUD|EUR|21-MAY-2022|Spot|0.69|1.44928
AUD|EUR|21-NOV-2021|Spot|0.641224253|1.55952
AUD|EUR|21-OCT-2021|Spot|0.645222443|1.54985
AUD|EUR|22-APR-2022|Spot|0.69|1.44928
AUD|EUR|22-DEC-2021|Spot|0.633293182|1.57905
AUD|EUR|22-FEB-2022|Spot|1.573166651|0.63566
AUD|EUR|22-JAN-2022|Spot|0.634454229|1.57616
AUD|EUR|22-MAR-2022|Spot|0.671297168|1.48965
AUD|EUR|22-MAY-2022|Spot|0.69|1.44928
AUD|EUR|22-OCT-2021|Spot|0.643415661|1.55421
AUD|EUR|23-APR-2022|Spot|0.69|1.44928
AUD|EUR|23-DEC-2021|Spot|0.637126837|1.56955
AUD|EUR|23-FEB-2022|Spot|0.636862734|1.5702
AUD|EUR|23-JAN-2022|Spot|0.633138482|1.57943
AUD|EUR|23-MAR-2022|Spot|0.674803929|1.48191
AUD|EUR|23-MAY-2022|Spot|0.69|1.44928
AUD|EUR|23-OCT-2021|Spot|0.641589447|1.55863
AUD|EUR|24-APR-2022|Spot|0.69|1.44928
AUD|EUR|24-DEC-2021|Spot|0.639593943|1.56349
AUD|EUR|24-FEB-2022|Spot|0.640271805|1.56184
AUD|EUR|24-JAN-2022|Spot|0.633050819|1.57965
AUD|EUR|24-MAR-2022|Spot|0.681503958|1.46734
AUD|EUR|24-MAY-2022|Spot|0.665453696|1.50273
AUD|EUR|24-NOV-2021|Spot|0.640828538|1.56048
AUD|EUR|24-OCT-2021|Spot|0.641091493|1.55984
AUD|EUR|25-APR-2022|Spot|0.69|1.44928
AUD|EUR|25-DEC-2021|Spot|0.638551491|1.56604
AUD|EUR|25-FEB-2022|Spot|0.639352235|1.56408
AUD|EUR|25-JAN-2022|Spot|0.627742618|1.59301
AUD|EUR|25-MAR-2022|Spot|0.682309901|1.46561
AUD|EUR|25-MAY-2022|Spot|0.659121643|1.51717
AUD|EUR|25-NOV-2021|Spot|0.642321103|1.55685
AUD|EUR|25-OCT-2021|Spot|0.640906302|1.56029
AUD|EUR|26-APR-2022|Spot|0.69|1.44928
AUD|EUR|26-DEC-2021|Spot|0.638034085|1.56731
AUD|EUR|26-FEB-2022|Spot|0.640958556|1.56016
AUD|EUR|26-JAN-2022|Spot|0.632484533|1.58107
AUD|EUR|26-MAR-2022|Spot|0.682754189|1.46466
AUD|EUR|26-MAY-2022|Spot|0.662932686|1.50845
AUD|EUR|26-NOV-2021|Spot|0.641382992|1.55913
AUD|EUR|26-OCT-2021|Spot|0.645435958|1.54934
AUD|EUR|27-APR-2022|Spot|0.69|1.44928
AUD|EUR|27-DEC-2021|Spot|0.637045445|1.56975
AUD|EUR|27-FEB-2022|Spot|0.641151091|1.55969
AUD|EUR|27-JAN-2022|Spot|0.635369879|1.57389
AUD|EUR|27-MAR-2022|Spot|0.684117668|1.46174
AUD|EUR|27-MAY-2022|Spot|0.659963846|1.51523
AUD|EUR|27-NOV-2021|Spot|0.629819607|1.58776
AUD|EUR|27-OCT-2021|Spot|0.646815926|1.54603
AUD|EUR|28-APR-2022|Spot|0.69|1.44928
AUD|EUR|28-DEC-2021|Spot|0.638876319|1.56525
AUD|EUR|28-FEB-2022|Corporate|0.646960708|1.54569
AUD|EUR|28-FEB-2022|Spot|0.639672109|1.5633
AUD|EUR|28-FEB-2022|"Monthly Average"|0.63091574|1.585
AUD|EUR|28-JAN-2022|Spot|0.632167916|1.58186
AUD|EUR|28-MAR-2022|Spot|0.684071382|1.46184
AUD|EUR|28-MAY-2022|Spot|0.668091439|1.4968
AUD|EUR|28-NOV-2021|Spot|0.629363308|1.58891
AUD|EUR|28-OCT-2021|Spot|0.647838667|1.54359
AUD|EUR|29-APR-2022|Spot|0.69|1.44928
AUD|EUR|29-DEC-2021|Spot|0.639270183|1.56428
AUD|EUR|29-JAN-2022|Spot|0.627173578|1.59445
AUD|EUR|29-MAR-2022|Spot|0.682006498|1.46626
AUD|EUR|29-MAY-2022|Spot|0.667244367|1.4987
AUD|EUR|29-NOV-2021|Spot|0.628990909|1.58985
AUD|EUR|30-APR-2022|Spot|0.69|1.44928
AUD|EUR|30-APR-2022|Corporate|0.669596975|1.49344
AUD|EUR|30-APR-2022|"Monthly Average"|0.680732815|1.46901
AUD|EUR|30-DEC-2021|Spot|0.63857016|1.566
AUD|EUR|30-JAN-2022|Spot|0.627377807|1.59394
AUD|EUR|30-MAR-2022|Spot|0.675690572|1.47997
AUD|EUR|30-MAY-2022|Spot|0.69|1.44928
AUD|EUR|30-NOV-2021|Spot|0.63164828|1.58316
AUD|EUR|30-NOV-2021|Corporate|0.630015142|1.58726
AUD|EUR|30-NOV-2021|"Monthly Average"|0.640232151|1.56193
AUD|EUR|30-OCT-2021|Spot|0.650462038|1.53737
AUD|EUR|30-SEP-2021|Corporate|0.624374|1.6016
AUD|EUR|31-AUG-2021|Corporate|0.619271|1.6148
AUD|EUR|31-DEC-2021|Spot|0.641459523|1.55894
AUD|EUR|31-DEC-2021|Corporate|0.638845285|1.56532
AUD|EUR|31-DEC-2021|"Monthly Average"|0.632480984|1.58108
AUD|EUR|31-JAN-2022|Corporate|0.630000912|1.5873
AUD|EUR|31-JAN-2022|Spot|0.62755656|1.59348
AUD|EUR|31-JAN-2022|"Monthly Average"|0.633885174|1.57757
AUD|EUR|31-JUL-2021|Corporate|0.618803|1.61602
AUD|EUR|31-MAR-2022|Spot|0.672459876|1.48708
AUD|EUR|31-MAR-2022|"Monthly Average"|0.66995362|1.49264
AUD|EUR|31-MAR-2022|Corporate|0.675716714|1.47991
AUD|EUR|31-MAY-2022|Corporate|0.669541159|1.49356
AUD|EUR|31-MAY-2022|Spot|0.667812349|1.49743
AUD|EUR|31-MAY-2022|"Monthly Average"|0.667071897|1.49909
AUD|EUR|31-OCT-2021|"Monthly Average"|0.63742613|1.56881
AUD|EUR|31-OCT-2021|Corporate|0.650703462|1.5368
AUD|EUR|31-OCT-2021|Spot|0.650371193|1.53758
AUD|INR|01-APR-2022|Spot|56.906437466|0.01757
AUD|INR|01-DEC-2021|Spot|53.329419979|0.01875
AUD|INR|01-FEB-2022|Spot|52.689661115|0.01898
AUD|INR|01-JAN-2022|Spot|54.145075414|0.01847
AUD|INR|01-JUN-2022|Spot|55.780835925|0.01793
AUD|INR|01-MAR-2022|Spot|54.804638596|0.01825
AUD|INR|01-MAY-2022|Spot|56|0.01786
AUD|INR|01-NOV-2021|Spot|56.382101542|0.01774
AUD|INR|01-OCT-2021|Spot|53.625425|0.01865
AUD|INR|02-APR-2022|Spot|56.941527996|0.01756
AUD|INR|02-DEC-2021|Spot|53.473344529|0.0187
AUD|INR|02-FEB-2022|Spot|53.196556053|0.0188
AUD|INR|02-JAN-2022|Spot|54.12074618|0.01848
AUD|INR|02-JUN-2022|Spot|55.580659047|0.01799
AUD|INR|02-MAR-2022|Spot|54.970269967|0.01819
AUD|INR|02-MAY-2022|Spot|56|0.01786
AUD|INR|02-NOV-2021|Spot|56.374589346|0.01774
AUD|INR|02-OCT-2021|Spot|53.925816685|0.01854
AUD|INR|03-APR-2022|Spot|56.924716571|0.01757
AUD|INR|03-DEC-2021|Spot|53.173283233|0.01881
AUD|INR|03-FEB-2022|Spot|53.281698218|0.01877
AUD|INR|03-JAN-2022|Spot|54.191561663|0.01845
AUD|INR|03-JUN-2022|Spot|56.144788244|0.01781
AUD|INR|03-MAR-2022|Spot|55.055594651|0.01816
AUD|INR|03-MAY-2022|Spot|56|0.01786
AUD|INR|03-NOV-2021|Spot|55.454023791|0.01803
AUD|INR|03-OCT-2021|Spot|53.831503816|0.01858
AUD|INR|04-APR-2022|Spot|56.986252346|0.01755
AUD|INR|04-DEC-2021|Spot|52.757214841|0.01895
AUD|INR|04-FEB-2022|Spot|53.364301425|0.01874
AUD|INR|04-JAN-2022|Spot|53.531787265|0.01868
AUD|INR|04-JUN-2022|Spot|55.998701931|0.01786
AUD|INR|04-MAR-2022|Spot|55.570227268|0.018
AUD|INR|04-MAY-2022|Spot|56|0.01786
AUD|INR|04-NOV-2021|Spot|55.378575261|0.01806
AUD|INR|04-OCT-2021|Spot|53.801298387|0.01859
AUD|INR|05-APR-2022|Spot|56.938272222|0.01756
AUD|INR|05-DEC-2021|Spot|52.664118381|0.01899
AUD|INR|05-FEB-2022|Spot|52.754536439|0.01896
AUD|INR|05-JAN-2022|Spot|53.96346154|0.01853
AUD|INR|05-JUN-2022|Spot|55.949930241|0.01787
AUD|INR|05-MAR-2022|Spot|56.263844024|0.01777
AUD|INR|05-MAY-2022|Spot|56|0.01786
AUD|INR|05-NOV-2021|Spot|55.159193379|0.01813
AUD|INR|05-OCT-2021|Spot|54.252398767|0.01843
AUD|INR|06-APR-2022|Spot|57.240788493|0.01747
AUD|INR|06-DEC-2021|Spot|52.732357983|0.01896
AUD|INR|06-FEB-2022|Spot|52.797594853|0.01894
AUD|INR|06-JAN-2022|Spot|53.945616245|0.01854
AUD|INR|06-JUN-2022|Spot|56.002901598|0.01786
AUD|INR|06-MAR-2022|Spot|56.342154066|0.01775
AUD|INR|06-MAY-2022|Spot|56|0.01786
AUD|INR|06-NOV-2021|Spot|54.998462796|0.01818
AUD|INR|06-OCT-2021|Spot|54.368552346|0.01839
AUD|INR|07-APR-2022|Spot|57.271414508|0.01746
AUD|INR|07-DEC-2021|Spot|53.103972178|0.01883
AUD|INR|07-FEB-2022|Spot|52.810529099|0.01894
AUD|INR|07-JAN-2022|Spot|53.31781243|0.01876
AUD|INR|07-JUN-2022|Spot|56.070104478|0.01783
AUD|INR|07-MAR-2022|Spot|56.307263344|0.01776
AUD|INR|07-MAY-2022|Spot|56|0.01786
AUD|INR|07-NOV-2021|Spot|54.897980351|0.01822
AUD|INR|07-OCT-2021|Spot|54.308272316|0.01841
AUD|INR|08-APR-2022|Spot|56.722514268|0.01763
AUD|INR|08-DEC-2021|Spot|53.138066474|0.01882
AUD|INR|08-FEB-2022|Spot|53.109473168|0.01883
AUD|INR|08-JAN-2022|Spot|53.354482496|0.01874
AUD|INR|08-JUN-2022|Spot|56.000232904|0.01786
AUD|INR|08-MAR-2022|Spot|56.322013324|0.01776
AUD|INR|08-MAY-2022|Spot|56|0.01786
AUD|INR|08-NOV-2021|Spot|54.915633572|0.01821
AUD|INR|08-OCT-2021|Spot|54.802849102|0.01825
AUD|INR|09-APR-2022|Spot|56.63099211|0.01766
AUD|INR|09-DEC-2021|Spot|54.0342305|0.01851
AUD|INR|09-FEB-2022|Spot|53.294333204|0.01876
AUD|INR|09-JAN-2022|Spot|53.336055136|0.01875
AUD|INR|09-JUN-2022|Spot|56.044362781|0.01784
AUD|INR|09-MAR-2022|Spot|55.968085314|0.01787
AUD|INR|09-MAY-2022|Spot|56|0.01786
AUD|INR|09-NOV-2021|Spot|54.864516102|0.01823
AUD|INR|09-OCT-2021|Spot|54.876853849|0.01822
AUD|INR|10-APR-2022|Spot|56.585674789|0.01767
AUD|INR|10-DEC-2021|Spot|54.015293355|0.01851
AUD|INR|10-FEB-2022|Spot|0.018608825|53.73794
AUD|INR|10-JAN-2022|Spot|53.344822366|0.01875
AUD|INR|10-JUN-2022|Spot|55.439762007|0.01804
AUD|INR|10-MAR-2022|Spot|55.906446525|0.01789
AUD|INR|10-MAY-2022|Spot|56|0.01786
AUD|INR|10-NOV-2021|Spot|54.627933909|0.01831
AUD|INR|10-OCT-2021|Spot|54.959468644|0.0182
AUD|INR|11-APR-2022|Spot|56.60527236|0.01767
AUD|INR|11-DEC-2021|Spot|54.308608595|0.01841
AUD|INR|11-FEB-2022|Spot|54.42365045|0.01837
AUD|INR|11-JAN-2022|Spot|53.106893682|0.01883
AUD|INR|11-JUN-2022|Spot|55.067095042|0.01816
AUD|INR|11-MAR-2022|Spot|56.26056913|0.01777
AUD|INR|11-MAY-2022|Spot|56|0.01786
AUD|INR|11-NOV-2021|Spot|54.718852399|0.01828
AUD|INR|11-OCT-2021|Spot|54.881898338|0.01822
AUD|INR|12-APR-2022|Spot|56.328077921|0.01775
AUD|INR|12-DEC-2021|Spot|54.376386471|0.01839
AUD|INR|12-FEB-2022|Spot|54.095247981|0.01849
AUD|INR|12-JAN-2022|Spot|53.114107798|0.01883
AUD|INR|12-JUN-2022|Spot|55.249922742|0.0181
AUD|INR|12-MAR-2022|Spot|55.975112868|0.01787
AUD|INR|12-MAY-2022|Spot|56|0.01786
AUD|INR|12-NOV-2021|Spot|54.314763848|0.01841
AUD|INR|12-OCT-2021|Spot|55.581810909|0.01799
AUD|INR|13-APR-2022|Spot|56.938838482|0.01756
AUD|INR|13-DEC-2021|Spot|54.31878319|0.01841
AUD|INR|13-FEB-2022|Spot|53.811011163|0.01858
AUD|INR|13-JAN-2022|Spot|53.695375387|0.01862
AUD|INR|13-JUN-2022|Spot|55.147504637|0.01813
AUD|INR|13-MAR-2022|Spot|55.890063859|0.01789
AUD|INR|13-MAY-2022|Spot|56|0.01786
AUD|INR|13-NOV-2021|Spot|54.460856252|0.01836
AUD|INR|13-OCT-2021|Spot|55.558239179|0.018
AUD|INR|14-APR-2022|Spot|56.519180565|0.01769
AUD|INR|14-DEC-2021|Spot|53.985098333|0.01852
AUD|INR|14-FEB-2022|Spot|53.794644353|0.01859
AUD|INR|14-JAN-2022|Spot|53.976238801|0.01853
AUD|INR|14-JUN-2022|Spot|54.235374169|0.01844
AUD|INR|14-MAR-2022|Spot|55.953747197|0.01787
AUD|INR|14-MAY-2022|Spot|53.580032985|0.01866
AUD|INR|14-NOV-2021|Spot|54.50163468|0.01835
AUD|INR|14-OCT-2021|Spot|55.514633764|0.01801
AUD|INR|15-APR-2022|Spot|56.452680684|0.01771
AUD|INR|15-DEC-2021|Spot|54.015420227|0.01851
AUD|INR|15-FEB-2022|Spot|53.915087339|0.01855
AUD|INR|15-JAN-2022|Spot|53.517375781|0.01869
AUD|INR|15-JUN-2022|Spot|53.884700035|0.01856
AUD|INR|15-MAR-2022|Spot|55.327639571|0.01807
AUD|INR|15-MAY-2022|Spot|53.739272009|0.01861
AUD|INR|15-NOV-2021|Spot|54.581041304|0.01832
AUD|INR|15-OCT-2021|Spot|55.700086726|0.01795
AUD|INR|16-APR-2022|Spot|56|0.01786
AUD|INR|16-DEC-2021|Spot|54.422644892|0.01837
AUD|INR|16-FEB-2022|Spot|53.79508539|0.01859
AUD|INR|16-JAN-2022|Spot|53.458751281|0.01871
AUD|INR|16-MAR-2022|Spot|54.998022534|0.01818
AUD|INR|16-MAY-2022|Spot|53.823944471|0.01858
AUD|INR|16-NOV-2021|Spot|54.745909974|0.01827
AUD|INR|16-OCT-2021|Spot|55.593548411|0.01799
AUD|INR|17-APR-2022|Spot|56|0.01786
AUD|INR|17-DEC-2021|Spot|54.805982066|0.01825
AUD|INR|17-FEB-2022|Spot|0.01855789|53.88544
AUD|INR|17-JAN-2022|Spot|53.487221441|0.0187
AUD|INR|17-MAR-2022|Spot|55.259083909|0.0181
AUD|INR|17-MAY-2022|Spot|54.047566523|0.0185
AUD|INR|17-NOV-2021|Spot|54.488264117|0.01835
AUD|INR|17-OCT-2021|Spot|55.671876349|0.01796
AUD|INR|18-APR-2022|Spot|56|0.01786
AUD|INR|18-DEC-2021|Spot|54.387856952|0.01839
AUD|INR|18-FEB-2022|Spot|0.018520554|53.99407
AUD|INR|18-JAN-2022|Spot|53.582947477|0.01866
AUD|INR|18-MAR-2022|Spot|56.046895544|0.01784
AUD|INR|18-MAY-2022|Spot|56|0.01786
AUD|INR|18-NOV-2021|Spot|54.092969402|0.01849
AUD|INR|18-OCT-2021|Spot|55.649492077|0.01797
AUD|INR|19-APR-2022|Spot|56|0.01786
AUD|INR|19-DEC-2021|Spot|54.189687689|0.01845
AUD|INR|19-FEB-2022|Spot|53.559261242|0.01867
AUD|INR|19-JAN-2022|Spot|53.593956432|0.01866
AUD|INR|19-MAR-2022|Spot|56.322092377|0.01776
AUD|INR|19-MAY-2022|Spot|54.411167662|0.01838
AUD|INR|19-NOV-2021|Spot|53.905197418|0.01855
AUD|INR|19-OCT-2021|Spot|55.848625821|0.01791
AUD|INR|20-APR-2022|Spot|56|0.01786
AUD|INR|20-DEC-2021|Spot|54.23655847|0.01844
